Filename,Output,CC1,PR1,LR1,AR1,LM1,CC2,PR2,LR2,AR2,LM2
ds1.csv,out1_0sec,0,3,2,2,0,0.0,0.0,4.0,0.0,0
ds1.csv,out2_0sec,0,3,0,3,0,0.0,0.0,4.0,2.0,0
ds1.csv,out1_2sec_shift_noise,0,3,2,1,0,2.0,2.0,1.0,1.0,0
ds1.csv,out1_2sec_shift,0,3,2,1,0,2.0,6.0,2.0,7.0,0
ds1.csv,out1_2sec_shift_filt,0,3,3,3,0,2.0,2.0,4.0,1.0,0
ds1.csv,out1_2sec_shift_noise_filt,0,3,3,3,0,1.0,2.0,1.0,3.0,0
ds1.csv,out1_4sec_shift,3,3,2,1,0,4.0,4.0,3.0,4.0,0
ds1.csv,out1_4sec_shift_noise,3,3,2,1,0,4.0,5.0,1.0,5.0,0
ds1.csv,out1_4sec_shift_filt,0,3,2,0,0,3.0,4.0,4.0,3.0,0
ds1.csv,out1_4sec_shift_noise_filt,0,3,2,0,0,3.0,6.0,4.0,4.0,0
ds1.csv,out1_6sec_shift,0,3,2,0,0,6.4,6.0,4.0,3.0,0
ds1.csv,out1_6sec_shift_noise,0,3,2,0,0,7.0,6.0,4.0,3.0,0
ds1.csv,out1_6sec_shift_filt,0,3,2,3,0,7.0,6.0,4.0,0.0,0
ds1.csv,out1_6sec_shift_noise_filt,0,3,2,3,0,7.0,6.0,4.0,0.0,0
ds1.csv,out1_8sec_shift,0,3,2,1,0,7.5,6.0,8.0,4.0,0
ds1.csv,out1_8sec_shift_noise,0,3,2,1,0,7.0,6.0,4.0,4.0,0
ds1.csv,out1_8sec_shift_filt,0,3,2,1,0,8.2,6.0,4.0,1.0,0
ds1.csv,out1_8sec_shift_noise_filt,0,3,2,1,0,7.0,6.0,4.0,1.0,0
ds1.csv,out1_10sec_shift,0,3,2,3,0,7.0,6.0,4.0,7.0,0
ds1.csv,out1_10sec_shift_noise,0,3,2,3,0,7.0,6.0,4.0,7.0,0
ds1.csv,out1_10sec_shift_filt,0,3,2,0,0,7.0,6.0,4.0,3.0,0
ds1.csv,out1_10sec_shift_noise_filt,0,3,2,0,0,10.0,6.0,4.0,3.0,0
ds1.csv,out2_2sec_shift,0,3,0,0,0,2.0,2.0,4.0,4.0,0
ds1.csv,out2_2sec_shift_noise,0,3,0,0,0,2.0,2.0,2.0,4.0,0
ds1.csv,out2_2sec_shift_filt,0,3,0,3,0,2.0,2.0,3.0,2.0,0
ds1.csv,out2_2sec_shift_noise_filt,0,3,0,3,0,2.0,2.0,2.0,4.0,0
ds1.csv,out2_4sec_shift,0,3,0,1,0,7.0,6.0,3.0,3.0,0
ds1.csv,out2_4sec_shift_noise,0,3,0,1,0,7.0,6.0,3.0,3.0,0
ds1.csv,out2_4sec_shift_filt,0,3,3,0,0,2.0,6.0,4.0,3.0,0
ds1.csv,out2_4sec_shift_noise_filt,0,3,3,3,0,2.0,6.0,4.0,3.0,0
ds1.csv,out2_6sec_shift,0,3,0,1,0,2.0,6.0,4.0,7.0,0
ds1.csv,out2_6sec_shift_noise,0,3,0,0,0,2.0,6.0,4.0,4.0,0
ds1.csv,out2_6sec_shift_filt,0,3,0,3,0,2.0,6.0,4.0,2.0,0
ds1.csv,out2_8sec_shift,0,3,0,2,0,2.0,6.0,4.0,1.0,0
ds1.csv,out2_8sec_shift_noise,0,3,0,0,0,2.0,6.0,4.0,1.0,0
ds1.csv,out2_8sec_shift_filt,0,3,0,0,0,2.0,6.0,2.0,7.0,0
ds1.csv,out2_8sec_shift_noise_filt,0,3,0,0,0,2.0,6.0,2.0,7.0,0
ds1.csv,out2_10sec_shift,0,3,3,3,0,2.0,6.0,2.0,1.0,0
ds1.csv,out2_10sec_shift_noise,0,3,0,1,0,2.0,6.0,2.0,1.0,0
ds1.csv,out2_10sec_shift_filt,0,3,0,2,0,2.0,6.0,2.0,3.0,0
ds1.csv,out2_10sec_shift_noise_filt,0,3,0,2,0,2.0,6.0,2.0,3.0,0
ds2.csv,out1_0sec,0,3,2,1,0,2.0,0.0,2.0,0.0,0
